Relationship,Title,Text,Class,Visible,Handle,ParentHandle
PARENT,D:\DEV\Work\pascal\WinAutoKey\examples\login\unit1.pas - Notepad++,D:\DEV\Work\pascal\WinAutoKey\examples\login\unit1.pas - Notepad++,Notepad++,T,0x001F08D2,0x00000000
CHILD,N,{This is free and unencumbered software released into the public domain.Anyone is free to copy  modify  publish  use  compile  sell  ordistribute this software  either in source code form or as a compiledbinary  for any purpose  commercial or non-co,Scintilla,T,0x00180A48,0x001F08D2
CHILD,Tab,Tab,SysTabControl32,T,0x0008050E,0x001F08D2
CHILD,,Pascal source file,msctls_statusbar32,T,0x000D04DA,0x001F08D2
CHILD,,,ReBarWindow32,T,0x000A063E,0x001F08D2
CHILD,,,ToolbarWindow32,T,0x000B0552,0x000A063E
CHILD,,,ReBarWindow32,T,0x000C0666,0x001F08D2
CHILD,,,#32770,T,0x003D00FA,0x000C0666
CHILD,X,X,Button,T,0x00160ABC,0x003D00FA
CHILD,Find :,Find :,Static,T,0x001206B2,0x003D00FA
CHILD,,,Edit,T,0x000C04F4,0x003D00FA
CHILD,<,<,Button,T,0x000B066A,0x003D00FA
CHILD,>,>,Button,T,0x001F0684,0x003D00FA
CHILD,&Highlight all,&Highlight all,Button,T,0x0009051C,0x003D00FA
CHILD,Match &case,Match &case,Button,T,0x001004A6,0x003D00FA
CHILD,,,Static,T,0x001701FA,0x003D00FA
PARENT,Develop Windows desktop applications | Microsoft Docs - Google Chrome,Develop Windows desktop applications | Microsoft Docs - Google Chrome,Chrome_WidgetWin_1,T,0x000308EA,0x00000000
CHILD,,,Intermediate D3D Window,T,0x0001098E,0x000308EA
PARENT,Settings,,Windows.UI.Core.CoreWindow,T,0x0001049E,0x00000000
PARENT,,,ApplicationFrameWindow,T,0x00010380,0x00000000
CHILD,,,ApplicationFrameTitleBarWindow,T,0x00010388,0x00010380
CHILD,,,ApplicationFrameInputSinkWindow,T,0x0001038A,0x00010380
PARENT,Calculator,,Windows.UI.Core.CoreWindow,T,0x00010490,0x00000000
PARENT,OneNote,,Windows.UI.Core.CoreWindow,T,0x00020372,0x00000000
PARENT,Microsoft Edge,,Windows.UI.Core.CoreWindow,T,0x00010432,0x00000000
CHILD,CoreInput,,Windows.UI.Core.CoreComponentInputSource,T,0x00020446,0x00010432
PARENT,Microsoft Edge,,Windows.UI.Core.CoreWindow,T,0x0001042E,0x00000000
PARENT,Microsoft Edge,,Windows.UI.Core.CoreWindow,T,0x00010430,0x00000000
PARENT,Microsoft Edge,,Windows.UI.Core.CoreWindow,T,0x0001042C,0x00000000
PARENT,Microsoft Edge,,Windows.UI.Core.CoreWindow,T,0x0001039C,0x00000000
PARENT,Microsoft Store,,Windows.UI.Core.CoreWindow,T,0x0003009A,0x00000000
PARENT,Settings,Settings,ApplicationFrameWindow,T,0x0003045E,0x00000000
CHILD,,,ApplicationFrameTitleBarWindow,T,0x00020494,0x0003045E
CHILD,,,ApplicationFrameInputSinkWindow,T,0x00010496,0x0003045E
PARENT,Calculator,Calculator,ApplicationFrameWindow,T,0x000203EE,0x00000000
CHILD,,,ApplicationFrameTitleBarWindow,T,0x0001048A,0x000203EE
CHILD,,,ApplicationFrameInputSinkWindow,T,0x0001048C,0x000203EE
PARENT,Jim's Notebook ‎- OneNote,Jim's Notebook ‎- OneNote,ApplicationFrameWindow,T,0x0004033C,0x00000000
CHILD,,,ApplicationFrameTitleBarWindow,T,0x0004034C,0x0004033C
CHILD,,,ApplicationFrameInputSinkWindow,T,0x00020374,0x0004033C
PARENT,Microsoft Edge,Microsoft Edge,ApplicationFrameWindow,T,0x00020356,0x00000000
CHILD,,,ApplicationFrameTitleBarWindow,T,0x0004035C,0x00020356
CHILD,,,ApplicationFrameInputSinkWindow,T,0x0005036E,0x00020356
PARENT,Microsoft Store,Microsoft Store,ApplicationFrameWindow,T,0x00030090,0x00000000
CHILD,,,ApplicationFrameTitleBarWindow,T,0x000202F8,0x00030090
CHILD,,,ApplicationFrameInputSinkWindow,T,0x000202FA,0x00030090
PARENT,,,DummyDWMListenerWindow,T,0x000101C4,0x00000000
PARENT,,,EdgeUiInputTopWndClass,T,0x000101BE,0x00000000
PARENT,SyncBackSE V5.20.0.0,SyncBackSE V5.20.0.0,TApplication,T,0x000102AC,0x00000000
PARENT,Program Manager,Program Manager,Progman,T,0x0002017A,0x00000000
CHILD,,,SHELLDLL_DefView,T,0x0001017C,0x0002017A
CHILD,FolderView,FolderView,SysListView32,T,0x0001017E,0x0001017C
